Roll,Category,Storlek_pa_Stad,Senioritet,Platform,Total_Impressions,Total_Clicks,Total_Spend_SEK,Campaign_Days,CTR_Percent,CPC_SEK,Daily_Spend_SEK,Company,Industry,Target_Audience,Country,Location,Campaign_Step,Confidence,Campaign_ID,Original_Campaign_Name
Allmän rekrytering,Healthcare,Stor stad,Unknown,Facebook,431652,18961,24764.58,217,4.393,1.31,114.12,Stockholms Sjukhem (xxx),Healthcare,Multiple Target Audiences,Sweden,Stockholm,Step 2/2,1.0,120207987988090459,Stockholms Sjukhem (xxx) - Employer Branding - Step 2/2 - Decision - CI: Healthcare - TA: Multiple Target Audiences - Sweden - Stockholm - Moa - N:
IT-specialist,Public Administration,Liten stad,Unknown,Facebook,431039,21232,24502.19,162,4.926,1.15,151.25,Skatteverket,Public Administration,Data & IT,Sweden,,Step 1/3,0.8,120223083190820397,Skatteverket - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Data & IT - Sweden -  - Edvin - N:
Allmän rekrytering,Public Administration,Stor stad,Unknown,Facebook,329710,11416,24500.0,93,3.462,2.15,263.44,Trafikförvaltningen,Public Administration,Multiple Target Audiences,Sweden,Stockholm,Step 2/3,1.0,120210969660400675,Trafikförvaltningen - Employer Branding - Step 2/3 - Consideration - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Agnes - N:
Mekaniker,Automotive,Multiple Cities,Unknown,Facebook,377203,15446,24488.61,273,4.095,1.59,89.7,DEKRA Automotive (455),Automotive,Automotive,Sweden,Region Öst,Step 1/3,1.0,120217155543710602,DEKRA Automotive (455) - Employer Branding - Step 1/3 - Awareness - CI: Automotive - TA: Automotive - Sweden - Region Öst - Edvin
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Tiktok,2095619,16039,24149.11,416,0.765,1.51,58.05,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 2/3,1.0,1770136377690145,Epidemic Sound - Employer Branding - Step 2/3 - Consideration - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Allmän rekrytering,Public Administration,Stor stad,Unknown,Linkedin,33197,278,23912.0,93,0.837,86.01,257.12,Trafikförvaltningen,Public Administration,Multiple Target Audiences,Sweden,Stockholm,Step 2/3,1.0,332808226,Trafikförvaltningen - Employer Branding - Step 2/3 - Consideration - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Agnes - N:
Produktionstekniker,Manufacturing & Industry,Multiple Cities,Unknown,Facebook,480900,9063,23645.57,94,1.885,2.61,251.55,NOVO Energy (Engineering),Manufacturing & Industry,Manufacturing & Production,Sweden,Multiple Cities,Step 1/3,1.0,120205883047330711,NOVO Energy (Engineering) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Manufacturing & Production - Sweden - Multiple Cities - Moa - N: Nationellt
Allmän rekrytering,Public Administration,Stor stad,Unknown,Linkedin,33853,125,23464.19,144,0.369,187.71,162.95,Trafikförvaltningen,Public Administration,Multiple Target Audiences,Sweden,Stockholm,Step 1/3,1.0,373892456,Trafikförvaltningen - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Edvin - 2025
Administrativ assistent,Data & IT,Multiple Cities,Unknown,Facebook,347339,13139,23073.88,458,3.783,1.76,50.38,GS1 (402),Data & IT,Head Office,Sweden,Multiple Cities,Step 2/3,1.0,23853385025430308,GS1 (402) - Employer Branding - Step 2/3 - Consideration - CI: Data & IT - TA: Head Office - Sweden - Multiple Cities - Edvin
Produktionstekniker,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Facebook,446798,17259,23057.48,451,3.863,1.34,51.13,Proco Services AB (780),"Construction, Civil Engineering & Infrastructure",Manufacturing & Production,Sweden,Multiple Cities,Step 2/3,1.0,23858851780590086,"Proco Services AB (780) - Employer Branding - Step 2/3 - Consideration - CI: Construction, Civil Engineering & Infrastructure - TA: Manufacturing & Production - Sweden - Multiple Cities - Edvin - N:"
Allmän rekrytering,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Facebook,336753,17742,22748.88,305,5.269,1.28,74.59,Bjerking VÄST,"Construction, Civil Engineering & Infrastructure",Multiple Target Audiences,Sweden,Multiple Cities,Step 1/2- Awareness,1.0,120203758816010530,"Bjerking VÄST - Employer Branding - Step 1/2- Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin - N:"
Ekonom,Consulting,Stor stad,Unknown,Facebook,202329,4796,22686.46,456,2.37,4.73,49.75,421 (194),Consulting,Economy & Finance,Sweden,Stockholm,Step 2/3,1.0,23852369522890429,421 (194) - Employer Branding - Step 2/3 - Consideration - CI: Consulting - TA: Economy & Finance - Sweden - Stockholm - Edvin
Sjuksköterska,Healthcare,Multiple Cities,Unknown,Linkedin,10745,93,21949.3,273,0.866,236.01,80.4,Meliva (687),Healthcare,Health Care,Sweden,Multiple Cities,Step 1/3,1.0,275711633,Meliva (687) - Employer Branding - Step 1/3 - Awareness - CI: Healthcare - TA: Health Care - Sweden - Multiple Cities - Edvin - N: Läkare
